Asvi,AsviR,Sexe,Age,Tage,Couple,Vmatri,Diplome,Occupa,Work,statut,Herit,Pere,Mere,Gparp,gparm,Jgrav,Livep,Epalo,fepsal,vmob,livdf,pel,cel,qpep,asdecv,Retrait,Qpea,Urbani,Zeat,Nbenf,Nbenfq,Iogoc,terre,dette,bdetre,hdetvo,ident
AsN,1,Sh,56,T60,CouO,Vmar,Db+5,Oact,WctA,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celO,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00072
AsN,1,Sf,31,T40,CouN,Vcel,Db+5,Oact,WctB,spriv,HerO,PerO,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00073
AsN,1,Sh,22,T30,CouN,Vcel,Db+2,Oact,Wemp,spriv,HerN,PerO,MerO,GppO,gpmO,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00074
AsO,0,Sh,53,T60,CouO,Vmar,Db+5,Oact,WctA,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivO,EplO,fesO,vmoO,ldfO,pelN,celO,qppN,asdN,RepO,QpeO,U5,Zidf,0,Nbe0,Ipro,terN,detO,bemO,hevN,00075
AsN,1,Sf,47,T50,CouO,Vmar,Db+5,Oact,WctA,spub,HerN,PerO,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celO,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detO,bemO,hevN,00076
AsN,1,Sh,27,T30,CouO,Vcel,Db+5,Oact,WctA,spub,HerO,PerO,MerO,GppO,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00077
AsN,1,Sf,26,T30,CouO,Vcel,Db+5,Oact,WctA,spub,HerO,PerO,MerO,GppO,gpmO,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00078
AsO,0,Sh,73,T80,CouN,Vsep,Dbac,Oret,WctC,spub,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,4,Nb>3,Ipro,terN,detN,bemN,hevN,00079
AsO,0,Sf,73,T80,CouO,Vmar,Dbac,Oret,WctA,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoO,ldfO,pelN,celN,qppN,asdN,RepN,QpeO,U5,Zidf,2,Nbe2,Ipro,terN,detN,bemN,hevN,00080
AsN,1,Sh,80,T80,CouO,Vmar,Db+5,Oret,WctA,spriv,HerO,PerN,MerN,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoO,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,3,Nb>3,Ipro,terO,detN,bemN,hevN,00081
AsN,1,Sf,23,T30,CouN,Vcel,Db+5,Oact,WctA,spub,HerN,PerO,MerO,GppO,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00082
AsN,1,Sf,26,T30,CouN,Vcel,Db+5,Oact,WctA,spub,HerN,PerO,MerO,GppO,gpmO,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00083
AsN,1,Sh,44,T50,CouO,Vmar,Dbac,Oact,Wemp,spriv,HerN,PerO,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00084
AsN,1,Sf,38,T40,CouO,Vmar,Dcep,Oact,Wemp,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00085
